製品名 ,ワイヤレス筋電センサ（乾式＋加速度） ,,,,,
計測時ID ,2,,,,,
計測開始時刻 ,2018/2/27 12:38,,,,,
サンプリング周波数 ,1000,,,,,
シーケンス数 ,20000,,,,,
PGAゲイン ,x12 ,,,,,
補正値キー ,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF ,,,,,
コメント , ,,,,,
ファイル保存形式, 演算データ,,,,,
シーケンス番号, EMG01, 加速度X, 加速度Y, 加速度Z ,,
295,0.0917,0.0193,0.8676,-0.4563,,0.0917
296,0.1048,0.0193,0.8676,-0.482,,0.1048
297,0.1478,0.0321,0.8676,-0.4563,,0.1478
298,0.1511,0.045,0.8676,-0.482,,0.1511
299,0.1431,0.0578,0.8676,-0.4691,,0.1431
300,0.1036,0.0321,0.8676,-0.4948,,0.1036
301,0.0617,0.0321,0.8676,-0.482,,0.0617
302,0.0109,0.0321,0.8547,-0.482,,0.0109
303,-0.0133,0.0321,0.8804,-0.4948,,0.0133
304,-0.0472,0.045,0.8676,-0.4691,,0.0472
305,-0.1034,0.0321,0.8804,-0.482,,0.1034
306,0.036,0.0321,0.8804,-0.5077,,0.036
307,0.1048,0.0321,0.8676,-0.4691,,0.1048
308,0.0741,0.0321,0.8676,-0.4563,,0.0741
309,-0.0124,0.0321,0.8676,-0.4948,,0.0124
310,-0.0757,0.0321,0.8676,-0.4434,,0.0757
311,-0.1083,0.0193,0.8804,-0.4691,,0.1083
312,-0.1247,0.0193,0.8804,-0.4691,,0.1247
313,-0.0918,0.0193,0.8804,-0.4563,,0.0918
314,-0.0584,0.045,0.8804,-0.4691,,0.0584
315,0.023,0.0321,0.8676,-0.4948,,0.023
316,0.0887,0.0321,0.8547,-0.482,,0.0887
317,0.1031,0.0193,0.8547,-0.4691,,0.1031
318,0.0855,0.0193,0.8676,-0.4691,,0.0855
319,0.0929,0.045,0.8676,-0.4691,,0.0929
320,0.0841,0.045,0.8676,-0.4434,,0.0841
321,0.0658,0.0321,0.8676,-0.4563,,0.0658
322,0.0697,0.0321,0.8547,-0.4563,,0.0697
323,0.0589,0.0321,0.8547,-0.4691,,0.0589
324,0.0661,0.0321,0.8676,-0.4691,,0.0661
325,0.0976,0.0321,0.8676,-0.4563,,0.0976
326,0.0809,0.0193,0.8676,-0.4691,,0.0809
327,0.0746,0.0321,0.8547,-0.482,,0.0746
328,0.0609,0.0193,0.8676,-0.4691,,0.0609
329,0.0248,0.0321,0.8676,-0.4563,,0.0248
330,-0.0057,0.0321,0.8676,-0.482,,0.0057
331,0.0237,0.0321,0.8676,-0.4691,,0.0237
332,0.0068,0.0321,0.8676,-0.4691,,0.0068
333,0.0439,0.0064,0.8547,-0.4434,,0.0439
334,0.0235,0.0321,0.8676,-0.4434,,0.0235
335,0.0567,0.0193,0.8676,-0.4563,,0.0567
336,0.1086,0.0193,0.8676,-0.4434,,0.1086
337,0.1925,0.0193,0.8676,-0.4691,,0.1925
338,0.1726,0.0193,0.8547,-0.4563,,0.1726
339,0.1655,0.0321,0.8547,-0.4306,,0.1655
340,0.1599,0.0321,0.8547,-0.4563,,0.1599
341,0.1907,0.0193,0.8676,-0.4563,,0.1907
342,0.1265,0.0064,0.8547,-0.4434,,0.1265
343,0.0751,0.0064,0.8676,-0.4691,,0.0751
344,0.0595,0.0193,0.8547,-0.4691,,0.0595
